sid,n_filters_detected
0,0.0
1,0.0
2,nan
3,0.0
4,0.0
5,nan
6,0.0
7,0.0
8,nan
9,0.0
10,5.0
11,nan
12,0.0
13,0.0
14,1.0
15,2.0
16,nan
17,0.0
18,0.0
19,nan
20,nan
21,2.0
22,nan
23,0.0
24,nan
25,0.0
26,nan
27,0.0
28,nan
29,0.0
30,0.0
31,1.0
32,nan
33,1.0
34,0.0
35,0.0
36,2.0
37,0.0
38,0.0
39,nan
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,nan
46,0.0
47,0.0
48,2.0
49,4.0
50,nan
51,nan
52,nan
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,nan
59,nan
60,nan
61,2.0
62,nan
63,0.0
64,nan
65,1.0
66,nan
67,0.0
68,0.0
69,0.0
70,0.0
71,3.0
72,0.0
73,0.0
74,nan
75,0.0
76,5.0
77,0.0
78,nan
79,nan
80,2.0
81,nan
82,0.0
83,2.0
84,0.0
85,nan
86,nan
87,0.0
88,0.0
89,3.0
90,0.0
91,2.0
92,nan
93,nan
94,0.0
95,0.0
96,0.0
97,nan
98,nan
99,nan
100,nan
101,0.0
102,0.0
103,nan
104,0.0
105,nan
106,nan
107,0.0
108,0.0
109,nan
110,3.0
111,0.0
112,2.0
113,0.0
114,0.0
115,nan
116,nan
117,nan
118,0.0
119,nan
120,nan
121,nan
122,nan
123,0.0
124,2.0
125,0.0
126,0.0
127,0.0
128,0.0
129,nan
130,nan
131,nan
132,3.0
133,nan
134,nan
135,0.0
136,0.0
137,nan
138,0.0
139,nan
140,3.0
141,3.0
142,0.0
143,nan
144,0.0
145,nan
146,1.0
147,nan
148,0.0
149,0.0
150,nan
151,0.0
152,0.0
153,0.0
154,2.0
155,nan
156,nan
157,0.0
158,0.0
159,0.0
160,nan
161,nan
162,2.0
163,5.0
164,0.0
165,2.0
166,0.0
167,0.0
168,1.0
169,0.0
170,0.0
171,nan
172,0.0
173,nan
174,nan
175,0.0
176,0.0
177,nan
178,1.0
179,0.0
180,1.0
181,0.0
182,0.0
183,1.0
184,0.0
185,nan
186,nan
187,0.0
188,0.0
189,0.0
190,nan
191,0.0
192,2.0
193,nan
194,2.0
195,nan
196,0.0
197,0.0
198,2.0
199,nan
200,0.0
201,2.0
202,nan
203,0.0
204,3.0
205,0.0
206,0.0
207,0.0
208,nan
209,0.0
210,2.0
211,nan
212,1.0
213,0.0
214,0.0
215,nan
216,nan
217,0.0
218,nan
219,3.0
220,0.0
221,0.0
222,nan
223,nan
224,0.0
225,0.0
226,0.0
227,0.0
228,3.0
229,nan
230,nan
231,nan
232,nan
233,0.0
234,0.0
235,nan
236,3.0
237,0.0
238,0.0
239,nan
240,0.0
241,nan
242,0.0
243,0.0
244,nan
245,nan
246,0.0
247,0.0
248,2.0
249,0.0
250,3.0
251,nan
252,0.0
253,2.0
254,3.0
255,1.0
256,4.0
257,0.0
258,nan
259,nan
260,0.0
261,nan
262,0.0
263,2.0
264,nan
265,0.0
266,nan
267,3.0
268,nan
269,0.0
270,0.0
271,0.0
272,nan
273,0.0
274,0.0
275,nan
276,6.0
277,0.0
278,0.0
279,nan
280,nan
281,0.0
282,0.0
283,2.0
284,0.0
285,nan
286,nan
287,nan
288,1.0
289,0.0
290,nan
291,0.0
292,0.0
293,nan
294,0.0
295,nan
296,nan
297,0.0
298,nan
299,0.0
300,0.0
301,nan
302,nan
303,0.0
304,nan
305,2.0
306,nan
307,0.0
308,0.0
309,0.0
310,nan
311,nan
312,0.0
313,0.0
314,1.0
315,0.0
316,0.0
317,nan
318,0.0
319,0.0
320,nan
321,0.0
322,2.0
323,nan
324,nan
325,0.0
326,0.0
327,nan
328,0.0
329,4.0
330,0.0
331,nan
332,1.0
333,0.0
334,nan
335,0.0
336,3.0
337,nan
338,1.0
339,0.0
340,nan
341,0.0
342,3.0
343,0.0
344,nan
345,0.0
346,0.0
347,2.0
348,0.0
349,nan
350,1.0
351,0.0
352,0.0
353,nan
354,3.0
355,0.0
356,0.0
357,nan
358,0.0
359,0.0
360,0.0
361,3.0
362,0.0
363,0.0
364,0.0
365,3.0
366,nan
367,4.0
368,0.0
369,6.0
370,nan
371,nan
372,0.0
373,nan
374,0.0
375,0.0
376,0.0
377,0.0
378,nan
379,0.0
380,2.0
381,0.0
382,nan
383,nan
384,nan
385,2.0
386,nan
387,nan
388,0.0
389,nan
390,3.0
391,0.0
392,nan
393,0.0
394,3.0
395,0.0
396,nan
397,4.0
398,nan
399,4.0
400,0.0
401,nan
402,0.0
403,0.0
404,0.0
405,nan
406,1.0
407,3.0
408,nan
409,0.0
410,nan
411,6.0
412,0.0
413,0.0
414,0.0
415,0.0
416,nan
417,1.0
418,0.0
419,nan
420,nan
421,nan
422,0.0
423,4.0
424,nan
425,0.0
426,0.0
427,nan
428,0.0
429,0.0
430,nan
431,nan
432,nan
433,0.0
434,nan
435,0.0
436,0.0
437,0.0
438,nan
439,0.0
440,0.0
441,1.0
442,nan
443,0.0
444,3.0
445,nan
446,nan
447,nan
448,0.0
449,nan
450,0.0
451,0.0
452,0.0
453,2.0
454,0.0
455,0.0
456,0.0
457,nan
458,0.0
459,0.0
460,1.0
461,5.0
462,nan
463,5.0
464,nan
465,1.0
466,nan
467,nan
468,4.0
469,nan
470,0.0
471,nan
472,1.0
473,0.0
474,4.0
475,0.0
476,nan
477,nan
478,nan
479,0.0
480,nan
481,nan
482,nan
483,0.0
484,5.0
485,2.0
486,nan
487,4.0
488,0.0
489,0.0
490,0.0
491,0.0
492,nan
493,nan
494,0.0
495,0.0
496,0.0
497,nan
498,nan
499,0.0
500,0.0
501,nan
502,nan
503,1.0
504,0.0
505,0.0
506,0.0
507,nan
508,nan
509,3.0
510,1.0
511,0.0
512,0.0
513,0.0
514,0.0
515,nan
516,0.0
517,0.0
518,nan
519,1.0
520,0.0
521,0.0
522,0.0
523,0.0
524,3.0
525,4.0
526,0.0
527,nan
528,0.0
529,1.0
530,0.0
531,0.0
532,1.0
533,0.0
534,0.0
535,0.0
536,nan
537,3.0
538,0.0
539,0.0
540,1.0
541,0.0
542,1.0
543,1.0
544,nan
545,nan
546,0.0
547,nan
548,0.0
549,nan
550,3.0
551,2.0
552,1.0
553,nan
554,0.0
555,1.0
556,1.0
557,0.0
558,0.0
559,0.0
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,0.0
566,nan
567,4.0
568,nan
569,5.0
570,0.0
571,0.0
572,0.0
573,nan
574,0.0
575,1.0
576,nan
577,nan
578,nan
579,3.0
580,nan
581,3.0
582,3.0
583,nan
584,nan
585,nan
586,0.0
587,nan
588,0.0
589,nan
590,nan
591,1.0
592,0.0
593,nan
594,0.0
595,nan
596,nan
597,nan
598,0.0
599,nan
600,nan
601,0.0
602,0.0
603,nan
604,0.0
605,0.0
