sid,peak_mjd,peak_mag,first_det_mjd,last_det_mjd,rise_time_days,fade_time_days,ra,dec,distance_Mpc
1,61000.26113,19.111,61000.26113,61053.15171,43.42423,96.31480,157.99624,-0.40731,444.49
38,61735.06436,20.089,61735.06436,61735.06589,38.52172,38.52325,81.68737,0.00906,234.64
64,61054.31191,22.121,61054.31191,61054.31243,99.60996,99.61047,228.49860,-0.40859,638.37
72,61620.28727,20.062,61620.28727,61674.07910,34.59724,88.38907,307.22511,-0.05169,854.87
84,61063.21610,20.343,61063.21610,61090.16373,51.19973,78.14736,8.17635,-0.37462,32.48
98,62212.34718,21.854,62212.34718,62235.33856,72.27561,95.26699,42.48212,0.25477,126.83
105,61771.11210,20.255,61771.11210,61771.11463,17.08766,17.09019,258.08047,0.04056,719.72
122,61231.30603,13.968,61231.30603,61290.01557,17.67903,76.38857,30.39996,-0.25834,93.60
126,61233.19520,22.509,61233.19520,61266.15833,46.37461,79.33774,118.75004,-0.27356,336.56
160,61713.27119,16.070,61713.27119,61742.23289,57.76948,86.73119,38.78674,-0.01342,116.66
169,61209.99442,19.975,61209.99442,61230.99505,17.00720,38.00784,343.04378,-0.27005,953.37
173,61619.12415,19.255,61619.12415,61651.01778,2.75193,34.64556,336.97569,-0.03486,936.68
181,61709.31124,19.387,61709.31124,61768.25687,33.63053,92.57616,321.64079,-0.00237,894.51
186,62178.28851,17.725,62178.28851,62186.26558,20.62000,28.59707,134.51678,0.26475,379.92
201,61619.13431,20.603,61619.13431,61650.99895,21.26036,53.12501,349.85751,-0.04500,972.11
222,61647.26000,22.510,61647.26000,61647.26152,4.86624,4.86777,238.63112,-0.02060,666.24
256,61206.16359,21.233,61206.16359,61206.32288,81.00086,81.16015,293.96475,-0.30882,818.40
265,61115.26144,21.436,61115.26144,61142.20283,12.38619,39.32758,59.59142,-0.32166,173.88
269,61028.27937,20.510,61028.27937,61033.22828,91.76150,96.71041,7.61329,-0.41947,30.94
270,61379.10001,23.337,61379.10001,61379.10715,35.20394,35.21109,19.94235,-0.18517,64.84
278,61709.31584,22.975,61709.31584,61735.18247,40.57335,66.43998,315.00178,-0.00617,876.25
294,61053.30969,20.184,61053.30969,61113.13631,10.98338,70.81000,303.68698,-0.35684,845.14
370,62212.35278,21.696,62212.35278,62214.39111,93.68773,95.72606,274.51157,0.24267,764.91
383,61526.08023,21.325,61526.08023,61529.08158,12.35615,15.35750,172.57304,-0.09121,484.58
50,62157.33114,22.686,62157.33114,62190.24206,52.68709,85.59801,71.96695,0.23477,207.91
65,61992.99634,19.759,61992.99634,62038.05058,28.15549,73.20972,199.28858,0.15667,558.04
70,61728.20196,18.876,61728.20196,61730.31036,17.70612,19.81451,77.25048,0.01671,222.44
71,61386.30304,18.874,61386.30304,61411.26658,56.67348,81.63702,147.07031,-0.19313,414.44
86,61386.29946,21.428,61386.29946,61476.08708,4.22090,94.00852,260.04937,-0.16393,725.14
89,61968.04084,20.458,61968.04084,62006.02347,23.49692,61.47956,180.37612,0.14543,506.03
96,61862.34832,16.459,61862.34832,61913.26641,2.92217,53.84027,130.25254,0.09845,368.19
100,61734.08440,22.502,61734.08440,61734.08485,7.57342,7.57387,327.08905,0.02548,909.49
124,62128.29655,15.982,62128.29655,62129.27125,80.12822,81.10292,14.98110,0.20307,51.20
137,61837.32930,22.567,61837.32930,61862.33215,65.73191,90.73475,173.62924,0.05020,487.48
150,61446.06591,19.308,61446.06591,61519.03272,7.83868,80.80549,297.46509,-0.13283,828.03
171,61109.15519,22.958,61109.15519,61121.33395,18.95057,31.12933,185.42057,-0.32899,519.91
178,61999.30986,18.075,61999.30986,62049.10718,1.22035,51.01768,321.00382,0.17514,892.76
200,62161.33157,22.007,62161.33157,62215.29026,41.90557,95.86426,279.86574,0.24310,779.63
210,61509.32537,20.633,61509.32537,61558.23107,48.06152,96.96723,249.93448,-0.12011,697.32
226,61411.26792,12.685,61411.26792,61451.28234,54.10394,94.11836,8.94942,-0.17778,34.61
266,62482.27466,16.742,62482.27466,62526.17238,7.67414,51.57186,102.49923,0.45035,291.87
276,61322.31896,23.716,61322.31896,61332.30885,35.27940,45.26929,114.47679,-0.21696,324.81
296,61789.07529,17.625,61789.07529,61836.02593,1.21725,48.16789,352.64545,0.05912,979.77
347,61109.34317,22.753,61109.34317,61138.06401,38.71639,67.43723,91.21801,-0.34034,260.85
7,60981.31024,22.894,60981.31024,60990.28689,90.26054,99.23718,282.98315,-0.44691,788.20
58,61559.40956,17.359,61559.40956,61619.37323,30.70466,90.66832,50.32692,-0.08297,148.40
80,61359.09069,19.581,61359.09069,61359.09114,1.06911,1.06956,239.15287,-0.17731,667.67
81,61359.28654,23.578,61359.28654,61359.29163,12.31941,12.32449,146.29927,-0.18346,412.32
90,61920.24155,14.473,61920.24155,62010.01492,0.10834,89.88171,54.83236,0.13193,160.79
94,61016.19696,19.057,61016.19696,61066.18731,7.19909,57.18944,108.54435,-0.37640,308.50
133,61273.20691,18.658,61273.20691,61294.16218,2.69688,23.65215,124.87313,-0.22624,353.40
147,61292.06038,17.536,61292.06038,61294.04815,4.27739,6.26517,187.44206,-0.21654,525.47
159,61999.35134,19.464,61999.35134,62068.10791,3.74001,72.49658,276.71310,0.17376,770.96
170,61846.33041,21.232,61846.33041,61919.27430,22.01575,94.95964,104.73042,0.07914,298.01
176,61699.08563,16.604,61699.08563,61737.02695,1.59193,39.53324,156.63494,0.00958,440.75
197,62465.11157,21.529,62465.11157,62480.19117,43.83638,58.91598,314.84233,0.41815,875.82
211,61877.01095,18.659,61877.01095,61915.96060,3.12897,42.07862,209.20198,0.10641,585.31
248,61776.29593,21.411,61776.29593,61816.21629,42.88421,82.80457,134.70626,0.02926,380.44
258,61012.02503,21.390,61012.02503,61012.03131,66.08176,66.08804,23.96119,-0.41382,75.89
259,62068.10657,22.820,62068.10657,62098.05461,58.34734,88.29538,213.99612,0.18164,598.49
280,61197.03632,19.571,61197.03632,61231.96669,8.53955,43.46992,15.65102,-0.27261,53.04
287,61404.27693,21.926,61404.27693,61424.25276,14.96308,34.93891,134.50109,-0.15992,379.88
291,60990.08271,23.840,60990.08271,60991.10031,96.72397,97.74158,18.70627,-0.44551,61.44
306,61916.43079,19.730,61916.43079,61916.43392,11.93301,11.93614,138.63222,0.12329,391.24
317,61915.95121,21.128,61915.95121,61923.96438,8.96586,16.97904,246.86760,0.12466,688.89
321,61780.36713,20.789,61780.36713,61825.31274,53.88237,98.82797,173.12775,0.02547,486.10
329,61522.14491,21.549,61522.14491,61558.05595,6.00966,41.92070,103.73602,-0.08989,295.27
338,61020.02923,20.237,61020.02923,61020.03550,62.66593,62.67220,30.41756,-0.40700,93.65
352,61052.32199,23.118,61052.32199,61052.32292,20.40939,20.41032,203.38222,-0.36293,569.30
373,62068.11328,20.964,62068.11328,62098.06309,58.80994,88.75974,113.19839,0.18138,321.30
25,62109.17486,19.114,62109.17486,62131.15247,42.44204,64.41965,70.06993,0.21347,202.69
46,62455.20748,19.299,62455.20748,62525.03267,8.84543,78.67062,139.49222,0.43324,393.60
53,62453.13344,19.479,62453.13344,62466.12187,7.96312,20.95155,239.34631,0.43252,668.20
67,62319.95356,18.974,62319.95356,62319.96298,95.10331,95.11273,109.42204,0.30309,310.91
130,60996.01273,16.470,60996.01273,60996.01945,6.19226,6.19898,61.41347,-0.38772,178.89
132,62433.36038,18.121,62433.36038,62523.14742,3.42174,93.20878,209.18201,0.42335,585.25
157,61000.01727,19.828,61000.01727,61000.02663,79.20865,79.21802,237.39215,-0.42891,662.83
192,61540.42892,17.715,61540.42892,61559.43377,49.52396,68.52881,44.19286,-0.10377,131.53
272,61975.43321,14.683,61975.43321,62044.23455,22.07580,90.87714,19.21750,0.15031,62.85
284,61511.28517,19.445,61511.28517,61513.28163,1.86019,3.85666,205.64375,-0.09358,575.52
33,62422.36972,20.076,62422.36972,62503.18297,19.03074,99.84399,133.36549,0.40742,376.76
92,62231.25391,19.877,62231.25391,62285.13297,11.09400,64.97306,160.61626,0.30039,451.69
142,61889.37529,18.921,61889.37529,61980.08036,5.03091,95.73598,337.61752,0.11217,938.45
146,61524.41238,19.928,61524.41238,61524.42246,33.36765,33.37773,119.36484,-0.10369,338.25
188,61171.42279,22.767,61171.42279,61182.41631,79.76086,90.75438,268.84426,-0.32815,749.32
194,62041.01312,18.644,62041.01312,62045.03750,1.47290,5.49728,55.18235,0.19825,161.75
229,61920.42629,16.227,61920.42629,61920.43668,37.93558,37.94598,38.12307,0.11115,114.84
234,61217.99730,18.785,61217.99730,61218.98245,2.76105,3.74620,335.88836,-0.25743,933.69
260,61304.38912,13.689,61304.38912,61304.39909,0.66093,0.67091,52.62237,-0.20761,154.71
286,61174.42628,22.044,61174.42628,61174.42808,66.56550,66.56730,17.73148,-0.31879,58.76
298,62013.03592,18.975,62013.03592,62018.00988,1.72668,6.70064,280.61191,0.18250,781.68
360,61538.98379,20.119,61538.98379,61542.99200,2.21396,6.22217,335.24504,-0.07854,931.92
393,61070.05860,20.737,61070.05860,61081.22855,55.87090,67.04085,246.99469,-0.37334,689.24
158,61665.01150,20.953,61665.01150,61665.03512,20.80028,20.82389,261.71806,-0.01961,729.72
309,61546.42345,17.816,61546.42345,61548.41263,91.37522,93.36440,50.31663,-0.12354,148.37
330,61746.09093,20.660,61746.09093,61753.13937,7.35436,14.40281,264.56154,0.03218,737.54
