sid,peak_mjd,peak_mag,first_det_mjd,last_det_mjd,rise_time_days,fade_time_days,ra,dec,distance_Mpc
4,62178.28902,19.684,62178.28902,62205.13533,14.58535,41.43165,33.90385,0.26817,103.24
26,61916.29251,22.896,61916.29251,61919.21580,29.25026,32.17354,168.01956,0.11366,472.05
161,61113.30711,19.205,61113.30711,61142.20283,26.60145,55.49717,329.76426,-0.33102,916.85
162,61025.25355,18.608,61025.25355,61033.20659,80.06747,88.02051,82.87704,-0.41428,237.91
163,61023.19898,11.793,61023.19898,61053.15120,3.97534,33.92756,13.46852,-0.37038,47.04
233,61024.17519,19.364,61024.17519,61053.15069,3.42416,32.39967,214.57532,-0.36948,600.08
239,61054.23096,16.198,61054.23096,61060.17601,1.60162,7.54668,39.29184,-0.35082,118.05
249,61086.25827,21.756,61086.25827,61114.17355,18.94043,46.85572,153.31755,-0.34227,431.62
252,61622.35880,21.264,61622.35880,61647.25131,50.08944,74.98194,163.40288,-0.05905,459.36
253,61025.25406,21.343,61025.25406,61029.26786,94.05911,98.07291,89.22224,-0.42266,255.36
254,61143.26789,23.390,61143.26789,61143.26840,18.47308,18.47359,85.19845,-0.30903,244.30
287,61407.27181,19.191,61407.27181,61442.20712,42.21256,77.14787,134.50109,-0.17339,379.88
304,61735.20807,18.759,61735.20807,61826.05575,7.43206,98.27974,308.72597,0.02617,859.00
321,61858.17454,17.488,61858.17454,61910.13640,5.13435,57.09621,173.12775,0.09493,486.10
349,61802.30117,20.307,61802.30117,61822.14615,24.88070,44.72567,34.21771,0.05339,104.10
363,60993.25830,18.236,60993.25830,61002.24103,14.62554,23.60828,31.57524,-0.39435,96.83
364,61174.17476,19.920,61174.17476,61209.04755,43.23289,78.10568,236.83078,-0.30550,661.28
366,61803.19525,23.547,61803.19525,61803.19677,34.21038,34.21190,278.75571,0.04876,776.58
387,62241.19418,19.894,62241.19418,62241.19469,10.56896,10.56947,342.43008,0.30640,951.68
389,61181.18553,21.804,61181.18553,61181.18655,96.49696,96.49798,306.19212,-0.33218,852.03
416,61764.15517,23.552,61764.15517,61764.15619,15.31398,15.31500,51.48788,0.03772,151.59
450,61437.20482,13.002,61437.20482,61498.06610,8.94930,69.81058,15.24620,-0.13835,51.93
482,61206.05925,22.671,61206.05925,61211.26524,17.59950,22.80549,211.79025,-0.27263,592.42
483,61709.31277,23.028,61709.31277,61713.27323,87.11840,91.07886,114.13473,-0.03167,323.87
486,61023.26748,20.863,61023.26748,61032.17978,41.03596,49.94826,170.68776,-0.39221,479.39
518,61233.15733,21.437,61233.15733,61236.20348,39.98123,43.02738,5.28582,-0.26995,24.54
531,61888.12142,20.607,61888.12142,61916.99626,23.15338,52.02821,253.94629,0.10150,708.35
542,61734.05738,22.825,61734.05738,61737.10725,53.44302,56.49289,302.06510,0.00034,840.68
580,61143.17185,18.850,61143.17185,61144.06187,1.65641,2.54643,179.57411,-0.29943,503.83
597,61086.15913,22.525,61086.15913,61086.23615,12.98393,13.06095,228.15712,-0.33886,637.43
636,61916.15562,21.959,61916.15562,61916.15613,3.01441,3.01492,243.11003,0.12806,678.55
649,61916.30322,21.939,61916.30322,61919.21123,48.35277,51.26078,10.65862,0.10314,39.31
685,61916.15308,23.043,61916.15308,61916.30576,9.11242,9.26509,123.58529,0.12469,349.86
729,62177.35276,19.767,62177.35276,62235.21749,25.28931,83.15404,185.79161,0.26157,520.93
742,61471.11794,20.741,61471.11794,61529.07699,19.98809,77.94714,310.59524,-0.12570,864.14
796,61382.15358,21.284,61382.15358,61389.08014,84.07029,90.99685,6.85229,-0.21077,28.84
802,61595.37071,20.881,61595.37071,61652.15579,14.83488,71.61997,320.40700,-0.05451,891.12
803,61647.25284,22.582,61647.25284,61647.29868,4.42349,4.46933,213.77900,-0.02036,597.89
830,61622.35931,19.764,61622.35931,61705.09295,5.88211,88.61575,219.87725,-0.03480,614.66
844,61497.06850,18.723,61497.06850,61529.07242,21.47392,53.47784,33.86591,-0.11221,103.13
848,62177.35429,21.751,62177.35429,62209.32422,49.19810,81.16804,53.77470,0.24803,157.88
888,61440.16549,19.446,61440.16549,61441.07035,94.86477,95.76963,58.63374,-0.18439,171.24
902,61467.33905,18.691,61467.33905,61526.25810,38.62216,97.54122,16.26232,-0.13809,54.72
907,61803.19932,16.390,61803.19932,61855.01670,12.90371,64.72108,39.84915,0.06046,119.59
912,61857.29566,21.424,61857.29566,61857.29617,66.41104,66.41155,324.59107,0.06078,902.63
946,61916.15613,20.320,61916.15613,61919.21123,26.43157,29.48667,255.68827,0.11514,713.14
983,61652.22539,21.895,61652.22539,61652.22589,3.21864,3.21915,168.75335,-0.01698,474.07
1028,61850.03565,21.248,61850.03565,61855.01313,31.59893,36.57641,265.86386,0.07591,741.13
1036,61142.36513,20.523,61142.36513,61152.32218,28.15276,38.10980,123.25048,-0.31513,348.94
1096,61589.98519,22.034,61589.98519,61592.99484,16.88013,19.88978,78.78838,-0.05859,226.67
