sid,peak_mjd,peak_mag,first_det_mjd,last_det_mjd,rise_time_days,fade_time_days,ra,dec,distance_Mpc
142,61209.03330,18.052,61209.03330,61211.23530,1.36951,3.57151,337.61752,-0.26172,563.32
974,61109.23152,18.071,61109.23152,61114.21982,4.93943,9.92773,115.75188,-0.32085,199.70
1254,60990.14695,14.574,60990.14695,60994.10861,1.13423,5.09589,43.90883,-0.38820,81.96
1364,61112.04942,16.702,61112.04942,61112.17764,2.82005,2.94827,166.22179,-0.31800,282.42
1391,61709.12515,18.299,61709.12515,61711.08391,6.67824,8.63699,301.49127,0.01230,504.11
1572,61885.23921,17.184,61885.23921,61886.17604,8.01401,8.95083,198.77857,0.10825,335.78
1762,60998.33003,15.825,60998.33003,60999.30766,2.48702,3.46465,76.23798,-0.38416,134.95
1810,61206.11688,15.194,61206.11688,61209.22732,2.97317,6.08361,80.05245,-0.26429,141.20
1951,61209.04533,11.247,61206.03484,61209.22369,0.48316,3.67201,4.33867,-0.26292,17.11
2130,61885.14227,16.632,61885.14227,61888.19502,6.34575,9.39850,72.76115,0.10912,129.25
2152,60998.33003,20.289,60998.33003,61001.27511,6.33127,9.27634,277.26730,-0.38643,464.41
2234,61675.10155,19.882,61675.10155,61678.02058,4.01124,6.93027,269.46521,-0.00488,451.62
2664,61023.29467,17.433,61023.29467,61025.21245,4.62531,6.54310,176.97972,-0.37071,300.05
2753,61555.16673,14.192,61555.16673,61558.20135,2.04871,5.08333,29.08273,-0.06956,57.66
2780,62005.03977,14.755,62005.03933,62006.03373,0.98214,1.97654,42.10100,0.17846,79.00
2793,61495.23330,17.939,61495.23330,61499.24185,2.63686,6.64541,355.84107,-0.10284,593.18
2800,61730.11220,18.835,61730.11220,61735.23476,2.93552,8.05808,359.36225,0.02585,598.95
3046,61743.26063,17.568,61743.26063,61746.24703,3.42285,6.40925,165.95310,0.03278,281.98
107,61464.29463,18.565,61464.29463,61468.37551,3.89023,7.97111,98.00696,-0.12059,170.62
240,61435.33698,18.539,61435.33698,61440.34381,3.27484,8.28167,298.59430,-0.13624,499.36
330,61300.34925,19.421,61300.34925,61302.36531,3.28306,5.29912,264.56154,-0.21134,443.59
421,61374.09358,11.667,61374.09358,61377.10044,1.95250,4.95935,13.01858,-0.16945,31.34
426,61977.09815,16.314,61977.09815,61981.01065,1.83686,5.74935,85.87902,0.16246,150.75
579,61112.38230,16.615,61112.38230,61117.31106,0.99712,5.92588,122.61269,-0.31675,210.95
719,61645.07381,18.187,61645.07381,61649.05019,3.92339,7.89977,343.92579,-0.02128,573.66
890,61492.25448,15.967,61492.25448,61494.06245,7.22996,9.03793,122.21199,-0.10701,210.29
903,61492.24538,16.751,61492.24538,61495.27764,5.02195,8.05421,173.33688,-0.10580,294.08
926,61378.23946,15.160,61378.23946,61379.13346,2.25000,3.14400,57.71233,-0.16732,104.58
962,61577.96882,13.470,61577.96882,61583.00024,1.57027,6.60169,47.43174,-0.05678,87.74
1075,61548.95125,16.543,61548.95125,61553.05065,5.38796,9.48735,115.99764,-0.07481,200.11
1116,61299.01945,15.144,61299.01945,61301.16260,2.95535,5.09850,49.67911,-0.21190,91.42
1164,61471.08991,14.324,61471.08991,61476.11259,2.45983,7.48251,52.87094,-0.11605,96.65
1241,62126.32438,15.688,62126.32438,62129.31370,3.70204,6.69137,115.34299,0.24491,199.03
1248,61555.40718,18.177,61555.40718,61561.35537,2.82004,8.76823,319.81156,-0.06985,534.14
1296,62178.26066,13.560,62178.26066,62182.26707,5.34676,9.35317,34.07032,0.27341,65.84
1350,61141.26300,19.063,61141.26300,61142.27526,8.91580,9.92806,286.11020,-0.30469,478.90
1468,61474.05098,20.105,61474.05098,61475.12804,1.96813,3.04519,259.88644,-0.11414,435.92
1677,62526.17906,17.367,62526.17906,62527.11188,8.82059,9.75341,158.84019,0.47653,270.32
1719,61141.26300,18.612,61141.26300,61142.27526,1.46302,2.47528,298.65435,-0.30042,499.46
1720,61822.16362,11.227,61822.16362,61823.17807,5.62124,6.63569,8.80230,0.07487,24.43
1876,61858.09112,18.982,61856.07536,61859.07930,0.60973,3.61367,96.88698,0.09627,168.79
2075,61915.96735,16.340,61915.96588,61917.02022,1.01195,2.06630,191.06038,0.12906,323.13
2224,61529.10707,17.552,61527.11920,61529.98145,0.60355,3.46580,323.41514,-0.08418,540.04
2419,61048.13801,17.623,61048.13801,61052.32292,2.10490,6.28982,335.32629,-0.35467,559.56
2528,62236.18864,19.163,62236.18864,62240.12461,5.30412,9.24009,298.47153,0.30655,499.16
2586,62387.35142,17.047,62387.35142,62387.37862,6.87248,6.89968,120.36932,0.39382,207.27
2590,61643.38888,21.714,61643.38888,61647.32905,4.49732,8.43748,276.35797,-0.02252,462.92
2861,61735.08419,17.167,61735.08419,61737.17664,5.07054,7.16298,189.10194,0.02740,319.92
2966,61525.99833,15.941,61525.99833,61529.09547,5.72540,8.82254,115.36376,-0.08761,199.07
2976,61529.98947,17.489,61529.10528,61529.98947,0.67650,1.56070,235.40596,-0.08313,395.80
3044,61556.33988,22.281,61556.33988,61560.37611,5.26977,9.30600,269.82539,-0.07069,452.21
3094,61645.09035,16.447,61645.09035,61651.02399,2.01002,7.94366,167.58000,-0.02023,284.64
3136,61786.20499,19.095,61786.20499,61787.25590,2.33443,3.38533,303.50097,0.05693,507.40
3172,61170.18516,18.173,61170.18516,61172.36103,1.13119,3.30706,255.87415,-0.28368,429.35
3173,61787.16915,19.461,61787.16915,61788.17347,8.23403,9.23835,354.45061,0.05422,590.91
3209,61917.00377,14.664,61917.00377,61920.03364,5.27664,8.30651,34.32724,0.12728,66.26
3516,61556.33397,17.517,61556.33397,61561.35268,2.51014,7.52885,219.39457,-0.06917,369.56
3534,61854.19993,17.875,61854.19993,61858.09334,3.75588,7.64929,253.84534,0.09350,426.02
3707,61442.22805,17.613,61442.22805,61443.15828,2.65084,3.58107,241.23354,-0.13209,405.35
