t_start,t_end,sid,ra,dec,peak_time,distance_Mpc,ebv,n_filters_detected,detected
1,365,0,46.12091,-0.95987,331.20,136.83,0.011,0,0
1,365,1,133.48729,-1.22854,106.88,377.09,0.084,0,0
1,365,2,22.97421,-1.18814,133.03,73.18,0.026,0,0
1,365,3,297.94722,-1.42329,20.82,829.35,0.354,0,0
1,365,4,227.39918,-1.11222,189.60,635.35,0.941,0,0
1,365,5,280.21806,-1.08765,209.95,780.60,0.120,0,0
1,365,6,268.11438,-1.16731,147.59,747.31,0.072,0,0
1,365,7,299.61353,-1.09954,199.98,833.94,0.054,0,0
1,365,8,139.49222,-1.15625,155.62,393.60,0.175,0,0
1,365,9,71.96695,-0.95542,335.87,207.91,0.012,0,0
1,365,10,239.15287,-1.18869,132.65,667.67,0.094,0,0
1,365,11,161.77014,-1.02725,264.09,454.87,4.885,0,0
1,365,12,34.70075,-1.09486,203.88,105.43,0.028,0,0
1,365,13,63.63820,-1.32785,54.61,185.01,0.090,0,0
1,365,14,61.41347,-1.36328,40.17,178.89,0.086,0,0
1,365,15,205.82210,-0.99710,293.26,576.01,0.586,0,0
1,365,16,297.46509,-1.14498,164.01,828.03,0.077,0,0
1,365,17,101.24416,-0.98229,308.11,288.42,0.077,0,0
1,365,18,13.46852,-1.08389,213.15,47.04,0.017,0,0
1,365,19,238.19805,-1.25437,91.63,665.04,0.110,0,0
1,365,20,337.25273,-1.39954,27.71,937.45,0.102,0,0
1,365,21,266.03424,-1.16328,150.50,741.59,0.084,0,0
1,365,22,344.02437,-0.97976,310.68,956.07,0.016,0,0
1,365,23,228.23104,-1.18383,135.98,637.64,0.180,0,0
1,365,24,50.52225,-1.12578,178.80,148.94,0.032,0,0
1,365,25,6.42124,-1.12455,179.77,27.66,0.015,0,0
1,365,26,83.75067,-1.43653,17.43,240.31,0.220,0,0
1,365,27,312.38602,-1.22494,109.10,869.06,0.055,0,0
1,365,28,213.99612,-0.97978,310.65,598.49,0.735,0,0
1,365,29,114.47679,-1.04648,246.23,324.81,0.249,0,0
1,365,30,315.00178,-1.30416,65.51,876.25,0.061,0,0
1,365,31,106.87553,-1.18985,131.86,303.91,0.158,0,0
1,365,32,173.12775,-1.16261,150.98,486.10,0.504,0,0
1,365,33,192.75652,-1.05305,240.25,540.08,1.328,0,0
1,365,34,191.78002,-1.11538,187.06,537.40,2.781,0,0
1,365,35,264.56154,-1.07364,221.99,737.54,0.068,0,0
1,365,36,34.23447,-1.48927,7.06,104.14,0.144,0,0
1,365,37,336.93834,-1.50055,5.50,936.58,0.120,0,0
1,365,38,167.75466,-1.12638,178.33,471.33,1.201,0,0
1,365,39,177.17516,-1.13197,173.96,497.23,1.885,0,0
1,365,40,43.10409,-1.37804,34.81,128.54,0.107,0,0
1,365,41,31.57524,-1.21518,115.22,96.83,0.024,0,0
1,365,42,274.51157,-1.43297,18.31,764.91,0.128,0,0
1,365,43,306.19212,-1.00429,286.17,852.03,0.061,0,0
1,365,44,229.34660,-1.22360,109.93,640.70,0.093,0,0
1,365,45,211.77288,-1.29398,70.49,592.38,0.227,0,0
365,730,0,33.90385,-0.90619,389.54,103.24,0.025,0,0
365,730,1,231.79144,-0.79513,523.17,647.43,0.340,0,0
365,730,2,159.62911,-0.64800,724.64,448.98,0.073,0,0
365,730,3,117.29713,-0.84829,457.10,332.57,0.212,0,0
365,730,4,171.25377,-0.76090,567.68,480.95,0.075,0,0
365,730,5,241.13304,-0.66101,705.79,673.12,0.582,0,0
365,730,6,50.31089,-0.71252,633.09,148.35,0.014,0,0
365,730,7,2.65042,-0.68534,671.08,17.29,0.014,0,0
365,730,8,204.74683,-0.78913,530.87,573.05,0.089,0,0
365,730,9,228.49860,-0.77978,542.95,638.37,0.202,0,0
365,730,10,11.09442,-0.86572,436.26,40.51,0.012,0,0
365,730,11,157.21826,-0.82098,490.58,442.35,0.223,0,0
365,730,12,258.08047,-0.87616,423.99,719.72,0.452,0,0
365,730,13,72.85081,-0.71287,632.60,210.34,0.017,0,0
365,730,14,155.55349,-0.76533,561.84,437.77,0.131,0,0
365,730,15,210.27527,-0.86432,437.92,588.26,0.226,0,0
365,730,16,124.87313,-0.73758,598.86,353.40,1.636,0,0
365,730,17,212.72958,-0.73177,606.73,595.01,0.077,0,0
365,730,18,175.19700,-0.79921,517.97,491.79,0.081,0,0
365,730,19,187.44206,-0.77351,551.11,525.47,0.080,0,0
365,730,20,158.00813,-0.69209,661.56,444.52,0.096,0,0
365,730,21,321.00382,-0.91088,384.28,892.76,0.018,0,0
365,730,22,186.78901,-0.70101,649.08,523.67,0.074,0,0
365,730,23,277.92448,-0.66466,700.54,774.29,0.119,0,0
365,730,24,51.80310,-0.88165,417.59,152.46,0.012,0,0
365,730,25,257.54657,-0.85149,453.25,718.25,0.715,0,0
365,730,26,150.88115,-0.89696,399.99,424.92,0.803,0,0
365,730,27,23.96119,-0.67489,685.90,75.89,0.015,0,0
365,730,28,102.49923,-0.81301,500.53,291.87,0.099,0,0
365,730,29,245.05723,-0.82018,491.57,683.91,2.147,0,0
365,730,30,280.61191,-0.76027,568.52,781.68,0.072,0,0
365,730,31,150.08017,-0.68109,677.09,422.72,0.120,0,0
365,730,32,132.30425,-0.92101,373.02,373.84,0.719,0,0
365,730,33,329.88529,-0.91735,377.06,917.18,0.020,0,0
365,730,34,227.85035,-0.88957,408.45,636.59,0.621,0,0
365,730,35,261.25763,-0.88808,410.17,728.46,0.195,0,0
365,730,36,287.72810,-0.77413,550.31,801.25,0.129,0,0
365,730,37,215.85364,-0.80899,505.59,603.60,0.129,0,0
365,730,38,42.15728,-0.67303,688.56,125.93,0.014,0,0
365,730,39,236.83078,-0.89266,404.91,661.28,2.562,0,0
365,730,40,113.19839,-0.74030,595.18,321.30,0.373,0,0
365,730,41,246.99469,-0.73290,605.20,689.24,1.458,0,0
365,730,42,108.69386,-0.84496,461.12,308.91,0.177,0,0
365,730,43,330.63908,-0.79314,525.72,919.26,0.012,0,0
365,730,44,39.81183,-0.71301,632.42,119.48,0.022,0,0
730,1095,0,309.09525,-0.44691,1037.55,860.01,0.051,0,0
730,1095,1,333.63540,-0.54491,880.26,927.50,0.017,0,0
730,1095,2,349.45129,-0.55024,871.96,970.99,0.015,0,0
730,1095,3,348.30350,-0.63905,737.71,967.83,0.017,0,0
730,1095,4,157.37469,-0.47629,989.54,442.78,0.080,0,0
730,1095,5,77.25048,-0.45989,1016.25,222.44,0.024,0,0
730,1095,6,238.28995,-0.60012,795.56,665.30,0.540,0,0
730,1095,7,60.11025,-0.58095,824.64,175.30,0.007,0,0
730,1095,8,324.93686,-0.45424,1025.51,903.58,0.037,0,0
730,1095,9,333.04324,-0.62104,764.27,925.87,0.015,0,0
730,1095,10,322.61788,-0.56367,851.14,897.20,0.052,0,0
730,1095,11,50.48967,-0.42891,1067.31,148.85,0.014,3,1
730,1095,12,237.39215,-0.53829,890.63,662.83,0.119,0,0
730,1095,13,86.74941,-0.46001,1016.06,248.56,0.028,0,0
730,1095,14,249.93448,-0.43735,1053.32,697.32,0.644,1,1
730,1095,15,39.29184,-0.55970,857.29,118.05,0.027,0,0
730,1095,16,153.31755,-0.55234,868.69,431.62,0.085,0,0
730,1095,17,89.22224,-0.41382,1092.44,255.36,0.039,3,1
730,1095,18,293.96475,-0.46716,1004.39,818.40,0.123,0,0
730,1095,19,331.54937,-0.41947,1083.02,921.76,0.030,0,0
730,1095,20,181.62945,-0.63856,738.43,509.48,0.083,0,0
730,1095,21,17.73148,-0.44551,1039.86,58.76,0.019,0,0
730,1095,22,188.55106,-0.55837,859.34,528.52,0.089,0,0
730,1095,23,324.95513,-0.41286,1094.05,903.63,0.052,0,0
730,1095,24,352.64545,-0.54364,882.25,979.77,0.018,0,0
730,1095,25,280.43869,-0.44838,1035.13,781.21,0.461,0,0
730,1095,26,118.21003,-0.53271,899.39,335.08,1.198,0,0
730,1095,27,250.12733,-0.62606,756.83,697.85,1.013,0,0
730,1095,28,340.56974,-0.49986,951.53,946.57,0.020,0,0
730,1095,29,212.42732,-0.54105,886.30,594.18,0.061,0,0
730,1095,30,61.66487,-0.57459,834.35,179.58,0.008,0,0
730,1095,31,278.75571,-0.54302,883.22,776.58,0.174,0,0
730,1095,32,337.00589,-0.51378,929.32,936.77,0.015,0,0
730,1095,33,258.39368,-0.60321,790.91,720.58,1.233,0,0
1095,1460,0,41.23083,-0.40859,1101.20,123.38,0.027,0,0
1095,1460,1,147.07031,-0.40127,1113.48,414.44,0.055,1,1
1095,1460,2,282.20336,-0.37462,1158.52,786.06,0.342,0,0
1095,1460,3,180.37612,-0.37640,1155.50,506.03,0.051,0,0
1095,1460,4,108.54435,-0.28242,1317.76,308.50,0.924,0,0
1095,1460,5,95.71319,-0.38019,1149.06,273.21,0.091,4,1
1095,1460,6,164.07946,-0.33815,1220.91,461.22,0.039,0,0
1095,1460,7,110.14438,-0.38139,1147.02,312.90,1.052,0,0
1095,1460,8,259.00666,-0.25834,1360.13,722.27,0.500,1,1
1095,1460,9,233.94478,-0.27356,1333.32,653.35,0.108,0,0
1095,1460,10,177.83669,-0.38772,1136.32,499.05,0.043,3,1
1095,1460,11,37.22507,-0.22624,1417.01,112.37,0.019,5,1
1095,1460,12,337.61752,-0.21654,1434.28,938.45,0.058,0,0
1095,1460,13,199.74689,-0.27005,1339.49,559.30,0.064,1,1
1095,1460,14,298.72431,-0.32899,1236.70,831.49,0.202,3,1
1095,1460,15,16.16782,-0.32448,1244.50,54.46,0.017,6,1
1095,1460,16,269.49889,-0.20431,1456.12,751.12,1.121,3,1
1095,1460,17,113.73446,-0.32815,1238.16,322.77,1.982,0,0
1095,1460,18,268.84426,-0.39513,1123.81,749.32,3.218,0,0
1095,1460,19,289.48483,-0.31205,1266.05,806.08,0.117,1,1
1095,1460,20,38.12307,-0.25743,1361.74,114.84,0.020,3,1
1095,1460,21,312.29663,-0.30882,1271.66,868.82,0.059,4,1
1095,1460,22,268.56514,-0.20761,1450.23,748.55,1.173,0,0
1095,1460,23,52.62237,-0.32166,1249.38,154.71,0.039,4,1
1095,1460,24,62.87093,-0.21696,1433.54,182.90,0.040,4,1
1095,1460,25,141.70696,-0.27261,1335.00,399.69,0.059,3,1
1095,1460,26,65.33943,-0.31879,1254.36,189.68,0.057,5,1
1095,1460,27,36.60189,-0.35684,1188.83,110.66,0.022,1,1
1095,1460,28,288.72932,-0.36293,1178.42,804.01,0.148,0,0
1095,1460,29,289.58106,-0.38425,1142.19,806.35,0.090,2,1
1095,1460,30,103.73602,-0.23310,1404.83,295.27,0.765,0,0
1095,1460,31,309.85886,-0.40700,1103.86,862.11,0.044,0,0
1095,1460,32,47.55702,-0.21336,1439.95,140.78,0.067,0,0
1095,1460,33,288.31830,-0.34034,1217.13,802.88,0.138,1,1
1095,1460,34,91.21801,-0.36293,1178.41,260.85,0.060,5,1
1095,1460,35,203.38222,-0.34535,1208.52,569.30,0.083,4,1
1095,1460,36,337.01040,-0.28060,1320.97,936.78,0.032,0,0
1095,1460,37,172.57304,-0.37170,1163.48,484.58,0.057,2,1
1095,1460,38,42.65229,-0.37334,1160.69,127.29,0.035,0,0
1095,1460,39,43.89180,-0.31208,1265.99,130.70,0.034,2,1
1095,1460,40,106.32925,-0.37438,1158.93,302.41,0.410,0,0
1460,1825,0,239.34631,-0.08297,1675.20,668.20,0.352,1,1
1460,1825,1,201.31458,-0.19313,1476.13,563.62,0.055,2,1
1460,1825,2,109.42204,-0.05169,1732.19,310.91,0.196,0,0
1460,1825,3,307.22511,-0.14470,1563.27,854.87,0.062,0,0
1460,1825,4,101.29820,-0.17731,1504.52,288.57,0.512,5,1
1460,1825,5,105.69375,-0.18346,1493.47,300.66,0.855,0,0
1460,1825,6,146.29927,-0.16393,1528.58,412.32,0.039,0,0
1460,1825,7,293.04734,-0.05176,1732.06,815.88,0.464,3,1
1460,1825,8,160.61626,-0.13760,1576.11,451.69,0.039,3,1
1460,1825,9,280.35033,-0.01172,1805.11,780.96,2.213,0,0
1460,1825,10,176.65452,-0.10369,1637.54,495.80,0.025,0,0
1460,1825,11,96.11124,-0.13283,1584.73,274.31,0.620,0,0
1460,1825,12,119.36484,-0.06138,1714.51,338.25,0.040,2,1
1460,1825,13,199.45301,-0.01961,1790.71,558.50,0.026,3,1
1460,1825,14,242.00643,-0.01342,1802.00,675.52,0.173,0,0
1460,1825,15,114.17000,-0.03486,1762.87,323.97,0.116,3,1
